RUN_TIME,MKT_TYPE,TIME_INTERVAL,REGION_NAME,GWAP,
5/14/2026 2:35:00 PM,DIPC,5/14/2026 2:40:00 PM,CMIN,0,
5/14/2026 2:35:00 PM,DIPC,5/14/2026 2:40:00 PM,CVIS,0,
5/14/2026 2:35:00 PM,DIPC,5/14/2026 2:40:00 PM,CLUZ,0,
5/14/2026 2:35:00 PM,DIPC,5/14/2026 2:40:00 PM,System,0,
5/14/2026 2:35:00 PM,DIPC,5/14/2026 2:40:00 PM,CLUZ_CVIS,0,
5/14/2026 3:40:00 PM,DIPC,5/14/2026 3:45:00 PM,CMIN,7423,
5/14/2026 3:40:00 PM,DIPC,5/14/2026 3:45:00 PM,CVIS,7419.1515,
5/14/2026 3:40:00 PM,DIPC,5/14/2026 3:45:00 PM,CLUZ,6386.8418,
5/14/2026 3:40:00 PM,DIPC,5/14/2026 3:45:00 PM,System,6678.4805,
5/14/2026 3:40:00 PM,DIPC,5/14/2026 3:45:00 PM,CLUZ_CVIS,6534.5447,
5/14/2026 5:25:00 PM,DIPC,5/14/2026 5:30:00 PM,CMIN,7423,
5/14/2026 5:25:00 PM,DIPC,5/14/2026 5:30:00 PM,CVIS,7422.9684,
5/14/2026 5:25:00 PM,DIPC,5/14/2026 5:30:00 PM,CLUZ,6820.4411,
5/14/2026 5:25:00 PM,DIPC,5/14/2026 5:30:00 PM,System,6989.7461,
5/14/2026 5:25:00 PM,DIPC,5/14/2026 5:30:00 PM,CLUZ_CVIS,6901.0605,
5/14/2026 6:55:00 PM,DIPC,5/14/2026 7:00:00 PM,CMIN,28766.8990,
5/14/2026 6:55:00 PM,DIPC,5/14/2026 7:00:00 PM,CVIS,18443.1853,
5/14/2026 6:55:00 PM,DIPC,5/14/2026 7:00:00 PM,CLUZ,10111.1696,
5/14/2026 6:55:00 PM,DIPC,5/14/2026 7:00:00 PM,System,14238.7824,
5/14/2026 6:55:00 PM,DIPC,5/14/2026 7:00:00 PM,CLUZ_CVIS,11229.6634,
5/14/2026 7:40:00 PM,DIPC,5/14/2026 7:45:00 PM,CMIN,28289.0801,
5/14/2026 7:40:00 PM,DIPC,5/14/2026 7:45:00 PM,CVIS,12222.2499,
5/14/2026 7:40:00 PM,DIPC,5/14/2026 7:45:00 PM,CLUZ,6742.3215,
5/14/2026 7:40:00 PM,DIPC,5/14/2026 7:45:00 PM,System,11043.9903,
5/14/2026 7:40:00 PM,DIPC,5/14/2026 7:45:00 PM,CLUZ_CVIS,7473.4078,
5/14/2026 8:50:00 PM,DIPC,5/14/2026 8:55:00 PM,CMIN,24942.5926,
5/14/2026 8:50:00 PM,DIPC,5/14/2026 8:55:00 PM,CVIS,8022.5220,
5/14/2026 8:50:00 PM,DIPC,5/14/2026 8:55:00 PM,CLUZ,6406.7132,
5/14/2026 8:50:00 PM,DIPC,5/14/2026 8:55:00 PM,System,9752.0567,
5/14/2026 8:50:00 PM,DIPC,5/14/2026 8:55:00 PM,CLUZ_CVIS,6627.5685,
5/14/2026 2:20:00 AM,DIPC,5/14/2026 2:25:00 AM,CMIN,3919.0553,
5/14/2026 2:20:00 AM,DIPC,5/14/2026 2:25:00 AM,CVIS,7423,
5/14/2026 2:20:00 AM,DIPC,5/14/2026 2:25:00 AM,CLUZ,7423,
5/14/2026 2:20:00 AM,DIPC,5/14/2026 2:25:00 AM,System,6858.1843,
5/14/2026 2:20:00 AM,DIPC,5/14/2026 2:25:00 AM,CLUZ_CVIS,7423,
5/14/2026 2:15:00 AM,DIPC,5/14/2026 2:20:00 AM,CMIN,3914.8233,
5/14/2026 2:15:00 AM,DIPC,5/14/2026 2:20:00 AM,CVIS,7423,
5/14/2026 2:15:00 AM,DIPC,5/14/2026 2:20:00 AM,CLUZ,7423,
5/14/2026 2:15:00 AM,DIPC,5/14/2026 2:20:00 AM,System,6855.7891,
5/14/2026 2:15:00 AM,DIPC,5/14/2026 2:20:00 AM,CLUZ_CVIS,7423,
5/14/2026 2:10:00 AM,DIPC,5/14/2026 2:15:00 AM,CMIN,3914.8786,
5/14/2026 2:10:00 AM,DIPC,5/14/2026 2:15:00 AM,CVIS,7423,
5/14/2026 2:10:00 AM,DIPC,5/14/2026 2:15:00 AM,CLUZ,7423,
5/14/2026 2:10:00 AM,DIPC,5/14/2026 2:15:00 AM,System,6854.4652,
5/14/2026 2:10:00 AM,DIPC,5/14/2026 2:15:00 AM,CLUZ_CVIS,7423,
5/14/2026 2:05:00 AM,DIPC,5/14/2026 2:10:00 AM,CMIN,4441.2182,
5/14/2026 2:05:00 AM,DIPC,5/14/2026 2:10:00 AM,CVIS,7423,
5/14/2026 2:05:00 AM,DIPC,5/14/2026 2:10:00 AM,CLUZ,7423,
5/14/2026 2:05:00 AM,DIPC,5/14/2026 2:10:00 AM,System,6940.8052,
5/14/2026 2:05:00 AM,DIPC,5/14/2026 2:10:00 AM,CLUZ_CVIS,7423,
5/14/2026 2:00:00 AM,DIPC,5/14/2026 2:05:00 AM,CMIN,3912.8686,
5/14/2026 2:00:00 AM,DIPC,5/14/2026 2:05:00 AM,CVIS,7423,
5/14/2026 2:00:00 AM,DIPC,5/14/2026 2:05:00 AM,CLUZ,7423,
5/14/2026 2:00:00 AM,DIPC,5/14/2026 2:05:00 AM,System,6855.5091,
5/14/2026 2:00:00 AM,DIPC,5/14/2026 2:05:00 AM,CLUZ_CVIS,7423,
5/14/2026 1:55:00 AM,DIPC,5/14/2026 2:00:00 AM,CMIN,7423,
5/14/2026 1:55:00 AM,DIPC,5/14/2026 2:00:00 AM,CVIS,7423,
5/14/2026 1:55:00 AM,DIPC,5/14/2026 2:00:00 AM,CLUZ,7423,
5/14/2026 1:55:00 AM,DIPC,5/14/2026 2:00:00 AM,System,7423,
5/14/2026 1:55:00 AM,DIPC,5/14/2026 2:00:00 AM,CLUZ_CVIS,7423,
5/14/2026 3:35:00 AM,DIPC,5/14/2026 3:40:00 AM,CMIN,4430.2548,
5/14/2026 3:35:00 AM,DIPC,5/14/2026 3:40:00 AM,CVIS,7423,
