RUN_TIME,MKT_TYPE,TIME_INTERVAL,REGION_NAME,RESOURCE_NAME,RESOURCE_TYPE,COMMODITY_TYPE,MARGINAL_PRICE,
5/9/2026 3:45:00 AM,RTD,5/9/2026 3:50:00 AM,CMIN,11FDC_U01,G,En,3196.70,
5/9/2026 3:45:00 AM,RTD,5/9/2026 3:50:00 AM,CMIN,11FDC_U02,G,En,3196.70,
5/9/2026 3:45:00 AM,RTD,5/9/2026 3:50:00 AM,CMIN,11FDC_U03,G,En,3196.70,
5/9/2026 3:50:00 AM,RTD,5/9/2026 3:55:00 AM,CLUZ,03PAGBIL_G01,G,En,3307.80,
5/9/2026 3:50:00 AM,RTD,5/9/2026 3:55:00 AM,CLUZ,03PAGBIL_G02,G,En,3307.80,
5/9/2026 3:50:00 AM,RTD,5/9/2026 3:55:00 AM,CMIN,11FDC_U01,G,En,3196.70,
5/9/2026 3:50:00 AM,RTD,5/9/2026 3:55:00 AM,CMIN,11FDC_U02,G,En,3196.70,
5/9/2026 3:50:00 AM,RTD,5/9/2026 3:55:00 AM,CMIN,11FDC_U03,G,En,3196.70,
5/9/2026 3:55:00 AM,RTD,5/9/2026 4:00:00 AM,CLUZ,01MARVEL_G01,G,En,3129.9088,
5/9/2026 3:55:00 AM,RTD,5/9/2026 4:00:00 AM,CLUZ,01MARVEL_G02,G,En,3129.9088,
5/9/2026 4:00:00 AM,RTD,5/9/2026 4:05:00 AM,CLUZ,01MARVEL_G01,G,En,3129.91,
5/9/2026 4:00:00 AM,RTD,5/9/2026 4:05:00 AM,CLUZ,01MARVEL_G02,G,En,3129.91,
5/9/2026 4:05:00 AM,RTD,5/9/2026 4:10:00 AM,CMIN,11FDC_U01,G,En,3191.70,
5/9/2026 4:05:00 AM,RTD,5/9/2026 4:10:00 AM,CMIN,11FDC_U02,G,En,3191.70,
5/9/2026 4:05:00 AM,RTD,5/9/2026 4:10:00 AM,CMIN,11FDC_U03,G,En,3191.70,
5/9/2026 4:10:00 AM,RTD,5/9/2026 4:15:00 AM,CLUZ,01MARVEL_G01,G,En,3129.91,
5/9/2026 4:10:00 AM,RTD,5/9/2026 4:15:00 AM,CLUZ,01MARVEL_G02,G,En,3129.91,
5/9/2026 4:15:00 AM,RTD,5/9/2026 4:20:00 AM,CLUZ,03QPPL_G01,G,En,3232,
5/9/2026 4:20:00 AM,RTD,5/9/2026 4:25:00 AM,CLUZ,01MARVEL_G01,G,En,3129.91,
5/9/2026 4:20:00 AM,RTD,5/9/2026 4:25:00 AM,CLUZ,01MARVEL_G02,G,En,3129.91,
5/9/2026 4:20:00 AM,RTD,5/9/2026 4:25:00 AM,CMIN,11FDC_U01,G,En,3191.70,
5/9/2026 4:20:00 AM,RTD,5/9/2026 4:25:00 AM,CMIN,11FDC_U02,G,En,3191.70,
5/9/2026 4:20:00 AM,RTD,5/9/2026 4:25:00 AM,CMIN,11FDC_U03,G,En,3191.70,
5/9/2026 4:25:00 AM,RTD,5/9/2026 4:30:00 AM,CLUZ,03PAGBIL_G03,G,En,3092.10,
5/9/2026 4:25:00 AM,RTD,5/9/2026 4:30:00 AM,CMIN,11FDC_U01,G,En,3191.70,
5/9/2026 4:25:00 AM,RTD,5/9/2026 4:30:00 AM,CMIN,11FDC_U02,G,En,3191.70,
5/9/2026 4:25:00 AM,RTD,5/9/2026 4:30:00 AM,CMIN,11FDC_U03,G,En,3191.70,
5/9/2026 4:30:00 AM,RTD,5/9/2026 4:35:00 AM,CLUZ,01MARVEL_G01,G,En,3129.91,
5/9/2026 4:30:00 AM,RTD,5/9/2026 4:35:00 AM,CLUZ,01MARVEL_G02,G,En,3129.91,
5/9/2026 4:35:00 AM,RTD,5/9/2026 4:40:00 AM,CLUZ,01MARVEL_G01,G,En,3129.91,
5/9/2026 4:35:00 AM,RTD,5/9/2026 4:40:00 AM,CLUZ,01MARVEL_G02,G,En,3129.91,
5/9/2026 4:40:00 AM,RTD,5/9/2026 4:45:00 AM,CLUZ,01MARVEL_G01,G,En,3129.91,
5/9/2026 4:40:00 AM,RTD,5/9/2026 4:45:00 AM,CLUZ,01MARVEL_G02,G,En,3129.91,
5/9/2026 4:40:00 AM,RTD,5/9/2026 4:45:00 AM,CMIN,11FDC_U01,G,En,3191.70,
5/9/2026 4:40:00 AM,RTD,5/9/2026 4:45:00 AM,CMIN,11FDC_U02,G,En,3191.70,
5/9/2026 4:40:00 AM,RTD,5/9/2026 4:45:00 AM,CMIN,11FDC_U03,G,En,3191.70,
5/9/2026 4:45:00 AM,RTD,5/9/2026 4:50:00 AM,CLUZ,01MARVEL_G01,G,En,3129.91,
5/9/2026 4:45:00 AM,RTD,5/9/2026 4:50:00 AM,CLUZ,01MARVEL_G02,G,En,3129.91,
5/9/2026 4:45:00 AM,RTD,5/9/2026 4:50:00 AM,CMIN,11FDC_U01,G,En,3191.70,
5/9/2026 4:45:00 AM,RTD,5/9/2026 4:50:00 AM,CMIN,11FDC_U02,G,En,3191.70,
5/9/2026 4:45:00 AM,RTD,5/9/2026 4:50:00 AM,CMIN,11FDC_U03,G,En,3191.70,
5/9/2026 4:50:00 AM,RTD,5/9/2026 4:55:00 AM,CLUZ,01MARVEL_G01,G,En,3129.91,
5/9/2026 4:50:00 AM,RTD,5/9/2026 4:55:00 AM,CLUZ,01MARVEL_G02,G,En,3129.91,
5/9/2026 4:50:00 AM,RTD,5/9/2026 4:55:00 AM,CMIN,11FDC_U01,G,En,3191.70,
5/9/2026 4:50:00 AM,RTD,5/9/2026 4:55:00 AM,CMIN,11FDC_U02,G,En,3191.70,
5/9/2026 4:50:00 AM,RTD,5/9/2026 4:55:00 AM,CMIN,11FDC_U03,G,En,3191.70,
5/9/2026 4:55:00 AM,RTD,5/9/2026 5:00:00 AM,CLUZ,01MARVEL_G01,G,En,3129.91,
5/9/2026 4:55:00 AM,RTD,5/9/2026 5:00:00 AM,CLUZ,01MARVEL_G02,G,En,3129.91,
5/9/2026 5:00:00 AM,RTD,5/9/2026 5:05:00 AM,CMIN,11FDC_U01,G,En,3186.70,
5/9/2026 5:00:00 AM,RTD,5/9/2026 5:05:00 AM,CMIN,11FDC_U02,G,En,3186.70,
5/9/2026 5:00:00 AM,RTD,5/9/2026 5:05:00 AM,CMIN,11FDC_U03,G,En,3186.70,
5/9/2026 5:05:00 AM,RTD,5/9/2026 5:10:00 AM,CLUZ,03QPPL_G01,G,En,3232,
5/9/2026 5:10:00 AM,RTD,5/9/2026 5:15:00 AM,CLUZ,01MARVEL_G01,G,En,3129.91,
5/9/2026 5:10:00 AM,RTD,5/9/2026 5:15:00 AM,CLUZ,01MARVEL_G02,G,En,3129.91,
5/9/2026 5:15:00 AM,RTD,5/9/2026 5:20:00 AM,CLUZ,03PAGBIL_G01,G,En,3307.80,
5/9/2026 5:15:00 AM,RTD,5/9/2026 5:20:00 AM,CLUZ,03PAGBIL_G02,G,En,3307.80,
5/9/2026 5:20:00 AM,RTD,5/9/2026 5:25:00 AM,CLUZ,03QPPL_G01,G,En,3232,
5/9/2026 5:25:00 AM,RTD,5/9/2026 5:30:00 AM,CMIN,11FDC_U01,G,En,3191.70,
5/9/2026 5:25:00 AM,RTD,5/9/2026 5:30:00 AM,CMIN,11FDC_U02,G,En,3191.70,
5/9/2026 5:25:00 AM,RTD,5/9/2026 5:30:00 AM,CMIN,11FDC_U03,G,En,3191.70,
5/9/2026 5:30:00 AM,RTD,5/9/2026 5:35:00 AM,CMIN,11FDC_U01,G,En,3191.70,
5/9/2026 5:30:00 AM,RTD,5/9/2026 5:35:00 AM,CMIN,11FDC_U02,G,En,3191.70,
5/9/2026 5:30:00 AM,RTD,5/9/2026 5:35:00 AM,CMIN,11FDC_U03,G,En,3191.70,
5/9/2026 5:35:00 AM,RTD,5/9/2026 5:40:00 AM,CMIN,11FDC_U01,G,En,3191.70,
5/9/2026 5:35:00 AM,RTD,5/9/2026 5:40:00 AM,CMIN,11FDC_U02,G,En,3191.70,
